title,company,location,link
[NAVER Z] 데이터 엔지니어,네이버제트,성남 분당구,https://kr.indeed.com/채용보기?jk=61dcca5896040150
한국필립모리스 2022년 상반기 수시,한국필립모리스㈜,서울 영등포구,https://kr.indeed.com/채용보기?jk=44e9ac7f0f94e784
서버 개발자 Python(Django) Developer (주니어),아테나스랩,서울 마포구,https://kr.indeed.com/채용보기?jk=4abf59df14cb4390
Python 기반 빅데이터 처리 개발자,드림어스컴퍼니,서울 서초구,https://kr.indeed.com/채용보기?jk=d364360d1e0368e3
웹프로그래머 (FrontEnd) 기업부설연구소 연구원 #python #js #FullStack #모바일,넥스텝코리아,서울 용산구,https://kr.indeed.com/채용보기?jk=56da6890ac68b874
2022년 ICT이노베이션스퀘어 인공지능(AI)/블록체인 3기 교육생,한국정보기술서비스산업협회,서울,https://kr.indeed.com/채용보기?jk=c47568a5a71d438e
2022년 파이썬활용 빅데이터 분석 전문가 국비무료 양성과정,한국산업기술협회,서울 금천구,https://kr.indeed.com/채용보기?jk=1a66a679bcbc9f5b
Backend Developer (Python/Tech Lead),위대한상상,서울 서초구,https://kr.indeed.com/채용보기?jk=e6e2d3024e1c47a2
영상 데이터 검수자,에스케이텔레콤,서울 종로구,https://kr.indeed.com/채용보기?jk=3fc35fae488ef31a
Data Engineer (Kafka) (토스),비바리퍼블리카,서울 강남구,https://kr.indeed.com/채용보기?jk=c9b819accb580f4d
[3년 이상] Analytics/Data Angineer,아이디케이스퀘어드,서울 중구,https://kr.indeed.com/채용보기?jk=27efbf31dc7befc6
Python 경력직 개발자 (신한은행 배달앱;땡겨요; 개인화 큐레이션 서비스 운영 개발),미식의시대,서울 중구,https://kr.indeed.com/채용보기?jk=64c241d8facd72c6
HR 데이터레이크 운영자,에스케이텔레콤,서울 중구,https://kr.indeed.com/채용보기?jk=ebc91f139cafa428
"주니어 백엔드 개발자 경력직, 정규직",클레온,서울 중구,https://kr.indeed.com/채용보기?jk=337161876837f7e3
금융 Data scientist,hTLM HR,서울 송파구,https://kr.indeed.com/채용보기?jk=a9043783ae081743
AI Frameworks Engineer,Intel,서울,https://kr.indeed.com/채용보기?jk=07aab0cc98af9ffe
2022년 AIFFEL AI 인공지능 전문교육,모두의연구소,서울 강남구,https://kr.indeed.com/채용보기?jk=f3c73d17b9f35e27
"QA 엔지니어, 테스터 엔지니어 계약직, 인턴",클레온,서울 중구,https://kr.indeed.com/채용보기?jk=55c0b40170b7c71a
[통합 커머스 플랫폼] STT 개발,커리어라임즈,서울 동작구,https://kr.indeed.com/채용보기?jk=244017684ac76c13
서버 개발자 Python(Django) Developer (경력),아테나스랩,서울 마포구,https://kr.indeed.com/채용보기?jk=53c7c22b9dacbbe3
